name,short_name,easting,northing,depth,log_q_c
Jaksa_D54,D54,25,31,0.809,2.309560706730471
Jaksa_D54,D54,25,31,0.814,2.3243465847755584
Jaksa_D54,D54,25,31,0.819,2.325324579963535
Jaksa_D54,D54,25,31,0.824,2.336019869080283
Jaksa_D54,D54,25,31,0.829,2.3456445824544927
Jaksa_D54,D54,25,31,0.834,2.336986519711378
Jaksa_D54,D54,25,31,0.839,2.341805806147327
Jaksa_D54,D54,25,31,0.844,2.34660197841082
Jaksa_D54,D54,25,31,0.849,2.330200260027019
Jaksa_D54,D54,25,31,0.855,2.3204250111223765
Jaksa_D54,D54,25,31,0.86,2.321406847234633
Jaksa_D54,D54,25,31,0.865,2.3125354238472138
Jaksa_D54,D54,25,31,0.87,2.302585092994046
Jaksa_D54,D54,25,31,0.875,2.302585092994046
Jaksa_D54,D54,25,31,0.88,2.277267285009756
Jaksa_D54,D54,25,31,0.885,2.254444717666111
Jaksa_D54,D54,25,31,0.89,2.2679936482244267
Jaksa_D54,D54,25,31,0.895,2.2731562823032334
Jaksa_D54,D54,25,31,0.9,2.2762411176544437
Jaksa_D54,D54,25,31,0.905,2.254444717666111
Jaksa_D54,D54,25,31,0.91,2.2648832258100344
Jaksa_D54,D54,25,31,0.915,2.2762411176544437
Jaksa_D54,D54,25,31,0.92,2.2669579153508947
Jaksa_D54,D54,25,31,0.925,2.2700619012884857
Jaksa_D54,D54,25,31,0.93,2.2793164660546914
Jaksa_D54,D54,25,31,0.935,2.263844264677615
Jaksa_D54,D54,25,31,0.94,2.2607208888953467
Jaksa_D54,D54,25,31,0.945,2.248128907197987
Jaksa_D54,D54,25,31,0.95,2.2375130962503307
Jaksa_D54,D54,25,31,0.955,2.209372711271867
Jaksa_D54,D54,25,31,0.96,2.214846178686039
Jaksa_D54,D54,25,31,0.965,2.174751721484161
Jaksa_D54,D54,25,31,0.97,2.150598735996164
Jaksa_D54,D54,25,31,0.975,2.150598735996164
Jaksa_D54,D54,25,31,0.98,2.135349173618132
Jaksa_D54,D54,25,31,0.985,2.1090003439213802
Jaksa_D54,D54,25,31,0.99,2.096790180014449
Jaksa_D54,D54,25,31,0.995,2.066862759472976
Jaksa_D54,D54,25,31,1,2.0425181875752383
Jaksa_D54,D54,25,31,1.005,2.0373166153791646
Jaksa_D54,D54,25,31,1.01,2.0541237336955462
Jaksa_D54,D54,25,31,1.015,2.065596134857783
Jaksa_D54,D54,25,31,1.02,2.065596134857783
Jaksa_D54,D54,25,31,1.025,2.050270164379556
Jaksa_D54,D54,25,31,1.03,2.0412203288596382
Jaksa_D54,D54,25,31,1.035,2.030776369698555
Jaksa_D54,D54,25,31,1.04,2.030776369698555
Jaksa_D54,D54,25,31,1.046,2.0135687975291283
Jaksa_D54,D54,25,31,1.051,1.998773638612381
Jaksa_D54,D54,25,31,1.056,1.9947003132247452
Jaksa_D54,D54,25,31,1.061,1.9878743481543455
Jaksa_D54,D54,25,31,1.066,1.9530276168241774
Jaksa_D54,D54,25,31,1.071,1.9572739077056285
Jaksa_D54,D54,25,31,1.076,1.9213246735826988
Jaksa_D54,D54,25,31,1.081,1.891604804197771
Jaksa_D54,D54,25,31,1.086,1.840549633397487
Jaksa_D54,D54,25,31,1.091,1.8293763327993617
Jaksa_D54,D54,25,31,1.096,1.809926773183504
Jaksa_D54,D54,25,31,1.101,1.7316555451583497
Jaksa_D54,D54,25,31,1.106,1.6467336971777973
Jaksa_D54,D54,25,31,1.111,1.623340817603092
Jaksa_D54,D54,25,31,1.116,1.55814461804655
Jaksa_D54,D54,25,31,1.121,1.4973884086254774
Jaksa_D54,D54,25,31,1.126,1.33500106673234
Jaksa_D54,D54,25,31,1.131,1.2947271675944
Jaksa_D54,D54,25,31,1.136,1.3029127521808397
Jaksa_D54,D54,25,31,1.141,1.2383742310432684
Jaksa_D54,D54,25,31,1.146,1.2837077723447896
Jaksa_D54,D54,25,31,1.151,1.269760544863939
Jaksa_D54,D54,25,31,1.156,1.3297240096314962
Jaksa_D54,D54,25,31,1.161,1.3711807233098425
Jaksa_D54,D54,25,31,1.166,1.4085449700547104
Jaksa_D54,D54,25,31,1.171,1.4678743481123135
Jaksa_D54,D54,25,31,1.176,1.4701758451005926
Jaksa_D54,D54,25,31,1.181,1.5325568680981427
Jaksa_D54,D54,25,31,1.186,1.536867219599265
Jaksa_D54,D54,25,31,1.191,1.5644405465033646
Jaksa_D54,D54,25,31,1.196,1.62924053973028
Jaksa_D54,D54,25,31,1.201,1.6448050562713916
Jaksa_D54,D54,25,31,1.206,1.691939133945844
Jaksa_D54,D54,25,31,1.211,1.6863989535702288
Jaksa_D54,D54,25,31,1.216,1.7119945007591924
Jaksa_D54,D54,25,31,1.221,1.7011051009599243
Jaksa_D54,D54,25,31,1.226,1.7647307968401356
Jaksa_D54,D54,25,31,1.232,1.7101878155342434
Jaksa_D54,D54,25,31,1.237,1.7351891177396608
Jaksa_D54,D54,25,31,1.242,1.728109442151599
Jaksa_D54,D54,25,31,1.247,1.7351891177396608
Jaksa_D54,D54,25,31,1.252,1.6937790608678513
Jaksa_D54,D54,25,31,1.257,1.682688374173693
Jaksa_D54,D54,25,31,1.262,1.7119945007591924
Jaksa_D54,D54,25,31,1.267,1.6714733033535532
Jaksa_D54,D54,25,31,1.272,1.6695918352538475
Jaksa_D54,D54,25,31,1.277,1.6714733033535532
Jaksa_D54,D54,25,31,1.282,1.6937790608678513
Jaksa_D54,D54,25,31,1.287,1.7334238922150915
Jaksa_D54,D54,25,31,1.292,1.749199854809259
Jaksa_D54,D54,25,31,1.297,1.6714733033535532
